Part,Description,List Price,Customer Price,Core Price,Env Charge,Compressed Part
1J0 018 885 A,Bracket,28.49,12.97,0,0,1J0018885A
1J0 018 930 C,Skid Plate,236,104.34,0,0,1J0018930C
1J0 035 501 F,Antenna Base,55.87,37.21,0,0,1J0035501F
1J0 035 849 D,Antenna Mast,22.87,13.34,0,0,1J0035849D
022 101 061 L,Cylinder Head,1421.88,647.36,0,0,022101061L
PA1466,Water Pump,361.72,159.16,0,0,PA1466
PA1579,Water Pump,178.65,78.61,0,0,PA1579
PA1580,Water Pump,192.4,84.66,0,0,PA1580
PE1620,Auxiliary Water Pump,536.87,236.23,0,0,PE1620
PA1455A,Water Pump,102.45,45.08,0,0,PA1455A
PA1507,Water Pump,137.4,60.46,0,0,PA1507
PA1545,Water Pump,197.42,86.87,0,0,PA1545
PA1566,Water Pump,174.9,76.96,0,0,PA1566
PA1532,Water Pump,169.9,74.76,0,0,PA1532
PA1649,Water Pump,349.9,153.96,0,0,PA1649
PE1621,Auxiliary Water Pump,831.97,366.07,0,0,PE1621
PA1479,Water Pump,282.6,124.34,0,0,PA1479
PA1414,Water Pump,317.3,139.61,0,0,PA1414
025 101 065 C,Cylinder Head,994.61,582.95,0,0,025101065C
043 101 355,Cylinder Head,1057.53,481.51,0,0,043101355
113 101 401 005,Valve Guide,8.97,4.09,0,0,113101401005
021 101 481,Gasket - Valve Cover,2.31,1.29,0,0,021101481
113 101 481 F,Gasket - Valve Cover,1.37,0.77,0,0,113101481F
021 103 051 C,Oil Seal,53.27,29.98,0,0,021103051C
068 103 051 G,Oil Seal,13.76,8.04,0,0,068103051G
070 103 051 A,Oil Seal,39.71,23.9,0,0,070103051A
079 103 051 D,Oil Seal,34.86,19.62,0,0,079103051D
079 103 051 F,Oil Seal,59.36,33.12,0,0,079103051F
079 103 051 G,Oil Seal,32.16,18.1,0,0,079103051G
038 103 085 E,Oil Seal,17.43,9.72,0,0,038103085E
81-34367-00,Camshaft Seal,11.06,6.22,0,0,813436700
026 103 085 D,Oil Seal,8.43,4.74,0,0,026103085D
06C 103 085,Oil Seal,23.91,13.34,0,0,06C103085
81-42737-00,Oil Seal,12.81,7.21,0,0,814273700
028 103 086 A,Oil Seal,16.81,9.38,0,0,028103086A
429 550,Camshaft Seal Cap,4.55,2.54,0,0,429550
078 103 113 E,Plug,3.94,2.22,0,0,078103113E
06C 103 121 E,Gasket - Timing Cover,7.51,3.42,0,0,06C103121E
61-37015-00,Gasket - Head,65.34,36.78,0,0,613701500
051 103 152,Sealing Flange,33.39,18.49,0,0,051103152
61-37020-00,Gasket - Head,54.47,30.66,0,0,613702000
03G 103 153 A,Sealing Flange,270.29,176.91,0,0,03G103153A
39728,Crankshaft Seal,87.16,49.06,0,0,39728
026 103 161 B,Gasket - Rear Main Seal,2.84,1.58,0,0,026103161B
81-90000-00,Sealing Flange,55.54,31.27,0,0,819000000
038 103 171 S,Sealing Flange,152.51,85.83,0,0,038103171S
06A 103 171 A,Sealing Flange,94.31,42.94,0,0,06A103171A
012 370,Sealing Flange,67.96,37.92,0,0,012370
068 103 171 F,Sealing Flange,75.47,34.68,0,0,068103171F
06H 103 171 A,Oil Seal,70.01,39.4,0,0,06H103171A
06B 103 217 AA,Breather Hose,120.01,81.81,0,0,06B103217AA
62702,Balance Shaft Tube,25.89,18.18,0,0,62702
026 103 181 B,Gasket - Rear Main Seal,3.63,2.05,0,0,026103181B
078 103 181,Gasket - Rear Main Seal,6.1,2.78,0,0,078103181
06A 103 213 BK,Breather Hose,87.93,49.5,0,0,06A103213BK
078 103 181 C,Gasket - Rear Main Seal,10.39,5.8,0,0,078103181C
059 103 193,Oil Drain Plug,8.11,4.57,0,0,059103193
07K 103 211 B,Breather Hose,161.03,64.73,0,0,07K103211B
06A 103 213 AF,Breather Hose,39.6,22.29,0,0,06A103213AF
06J 103 213 D,Breather Hose,102.9,43.38,0,0,06J103213D
06A 103 221 AH,Breather Hose,39.54,18,0,0,06A103221AH
06A 103 221 AN,Breather Hose,103.5,68.1,0,0,06A103221AN
06A 103 221 BH,Breather Hose,85.72,39.25,0,0,06A103221BH
06A 103 221 BK,Breather Hose,72.77,31.57,0,0,06A103221BK
06B 103 221 P,Breather Hose,15.39,9.21,0,0,06B103221P
06J 103 221 A,Breather Hose,62.4,38.56,0,0,06J103221A
078 103 223 B,Breather Hose,59.26,27.26,0,0,078103223B
06C 103 245,PCV Valve,360.22,163.99,0,0,06C103245
078 103 245 E,PCV Valve,221.46,100.84,0,0,078103245E
06A 103 247,Breather Hose Connector,19.62,11.44,0,0,06A103247
038 103 265 A,Cylinder Head,1969.14,1138.61,0,0,038103265A
038 103 265 P,Cylinder Head,2970.21,1794.88,0,0,038103265P
